District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Kegalle,Oak Ray Heritage Hotel,Hotel Suisse Kandy Restaurant,Nadeeka Stores,"St. Michael's Church, Kandy",Huluganga Falls,"Dharmaraja College, Kegalle",Udawatta Forest Reserve,,,,
Kegalle,Melheim Resort,Lighthouse Polonnaruwa Restaurant,Sandun Shopping Center,"St. Joseph's Church, Kandy",Arankele Monastery,"St. Thomas' College, Kegalle",Kurulu Kele Bird Sanctuary,,,,
Kegalle,Ceylon Tea Trails - Castlereagh,Amaya Bungalow Restaurant,Kegalle Toy City,"St. Anne's Church, Kandy",Kandy Lake,"Janadhipathi Maha Vidyalaya, Kegalle",Pethangala Aranya Senasanaya,,,,
Kegalle,Amaya Hills Kandy,The Planter's Bungalow Restaurant,Wasantha Stores,"St. Patrick's Church, Kandy","Royal Botanical Gardens, Peradeniya","Vidyaloka College, Kegalle",Gurugoda Aranya Senasanaya,,,,
Kegalle,Theva Residency,The Golden Crown Hotel Restaurant,Rathnayake Shopping Arcade,"St. John's Church, Kandy",Sembuwatta Lake,"Rambukkana Maha Vidyalaya, Rambukkana",Mawanella Clock Tower,,,,
Kegalle,Hunas Falls by Amaya,Earl's Regency Hotel Restaurant,Gayani Stores,"St. Francis Xavier's Church, Kandy",Udawatta Kele Sanctuary,"Thalgaspitiya Maha Vidyalaya, Rambukkana",Galboda Falls,,,,
Kegalle,The Golden Crown Hotel,Amaya Hills Kandy Restaurant,Gunaratne Stores,"St. Anthony's Church, Kegalle",Gampola Kingdom Museum,"Udugama Maha Vidyalaya, Rambukkana",Aluthnuwara Sri Indrasara Maha Viharaya,,,,
Kegalle,Earl's Regency Hotel,Theva Residency Restaurant,Kegalle Electronics Plaza,"Sri Nagasena Purana Viharaya, Galagedara",Kandyan Art Association,"Galigamuwa Maha Vidyalaya, Galigamuwa",Weragala Aranya Senasanaya,,,,
Kegalle,Hotel Suisse Kandy,Hunas Falls by Amaya Restaurant,Anuruddha Stores,"Sri Devinda Rajamaha Viharaya, Galagedara",Sir Edward Barnes Memorial,"Kegalle Montessori School, Kegalle (Private)",Rukmalagama Rajamaha Viharaya,,,,
Kegalle,Serendip Stone Bungalow,Hotel Thilanka Restaurant,Kegalle Jewelry Center,"Sri Nagadeepa Viharaya, Galagedara",Ambuluwawa Tower,"The Learning Place International, Kegalle (Private)",Duwili Falls,,,,
Kegalle,Amaya Bungalow,Sky Pavilion Kandy Restaurant,Lakshman Stores,"Sri Thapowana Rajamaha Viharaya, Galagedara",Galapatha Raja Maha Viharaya,"Sri Bodhi Preschool, Kegalle (Private)",Aranayake Dam,,,,
Kegalle,The Planter's Bungalow,Mountbatten Bungalow Restaurant,Priyantha Shopping Mall,"Sri Lanka Ramanna Nikaya Buddhist Monastery, Galagedara",Ganepola Raja Maha Viharaya,"Kidzee International Preschool, Kegalle (Private)",Aranayake Forest Reserve,,,,
Kegalle,Lighthouse Polonnaruwa,Serendip Stone Bungalow Restaurant,Pradeep Stores,"All Saints' Church, Kegalle",Ihala Kalu Ganga Dam,"Little Stars Preschool, Kegalle (Private)",Alupola Rajamaha Viharaya,,,,
Kegalle,Hotel Topaz,Villa Tranquil Kandy Restaurant,Thilanka Shopping Center,"St. Paul's Church, Kegalle",Nelumwewa Archeological Site,"Gamunu Central College, Mawanella",Kiriwanagama Rajamaha Viharaya,,,,
Kegalle,Kandy City Hotel by Earl's,Oak Ray Serene Garden Hotel Restaurant,Kegalle Craft Emporium,"St. Peter's Church, Kegalle",Ambuluwawa Biodiversity Complex,"Masimbula Primary School, Mawanella",Naranpanawa Rajamaha Viharaya,,,,
Kegalle,Devon Hotel Kandy,Hotel Travellers Nest Restaurant,Janaka Stores,"St. Michael's Church, Kegalle",Hakgala Botanical Garden,"St. Anthony's College, Mawanella",Banna Aranya Senasanaya,,,,
Kegalle,Oak Ray Regency Hotel,Tropical Retreat Kandy Restaurant,Kegalle Fancy Bazaar,"St. Mary's Church, Kegalle",Gannoruwa Agro Farm,"Vivekarama Maha Vidyalaya, Rambukkana",Mawela Forest Reserve,,,,
Kegalle,Kandy Samadhi Centre,River Garden Resort Kandy Restaurant,Lakshmi Shopping Mall,"St. John's Church, Kegalle",Aukana Buddha Statue,"Al-Hudha National School, Rambukkana (Private)",Iriyagolla Rajamaha Viharaya,,,,
Kegalle,Mountbatten Bungalow,Emerald Hill Hotel Kandy Restaurant,Ranjith Stores,"St. Joseph's Church, Kegalle",Suriyakantha Centre for Art and Culture,"Holy Family Convent, Rambukkana (Private)",Rangala Forest Reserve,,,,
Kegalle,Oak Ray Serene Garden Hotel,River Grove Kandy Restaurant,Rathnayake Shopping Complex,"St. Xavier's Church, Kegalle",Demodara Nine Arch Bridge,"Ananda Maha Vidyalaya, Warakapola",Karagampitiya Aranya Senasanaya,,,,
Kegalle,Villa Tranquil Kandy,Kandy Upul Guesthouse Restaurant,Nimal Stores,"St. Theresa's Church, Kegalle",Suriyakantha Centre for Art and Culture,"St. Mary's College, Warakapola",Molkawa Rajamaha Viharaya,,,,
Kegalle,The Swiss Residence Kandy,Ayos Hill Hotel Restaurant,Saman Stores,"St. Anthony's Church, Kegalle",Horton Plains National Park,"Christ Church Boys' College, Warakapola",Pinnawala Clock Tower,,,,
Kegalle,Hotel Thilanka,Hanthana House Restaurant,Sandaruwan Stores,"St. Anne's Church, Kegalle",Ambuluwawa Tower,"Daya Maha Vidyalaya, Warakapola",Kottimbulwala Rajamaha Viharaya,,,,
Kegalle,Sky Pavilion Kandy,Kandy City Hostel Restaurant,Kegalle Furniture World,"St. Patrick's Church, Kegalle",Polonnaruwa Archaeological Museum,"Sanghabodhi Maha Vidyalaya, Warakapola",Mawanella Raja Maha Viharaya,,,,
Kegalle,Mountbatten Bungalow,Kandy Greenview Boutique Hotel Restaurant,Indika Stores,"St. Francis Xavier's Church, Kegalle",Gal Vihara,"Rajasinghe Maha Vidyalaya, Ruwanwella",Alawatugoda Raja Maha Viharaya,,,,
Kegalle,Nature Walk Resort,Ambiente Hotel Kandy Restaurant,Kegalle Gift Gallery,"Kegalle Jumma Masjid, Kegalle",Minneriya National Park,"Yathogoda Maha Vidyalaya, Ruwanwella",Weragoda Rajamaha Viharaya,,,,
Kegalle,Sevana Guest House,Jungle Tide Restaurant,Priyantha Shopping Center,"Central Jumma Masjid, Kegalle",Polonnaruwa Vatadage,"St. Anthony's College, Kegalle (Private)",Warakapola Raja Maha Viharaya,,,,
Kegalle,Eagle's Wings Guesthouse,Kegalle Nature Resort Restaurant,Dilan Stores,"Kegalle Grand Mosque, Kegalle",Mahaweli River,"Ralapanawa Maha Vidyalaya, Ralapanawa",Balummahara Rajamaha Viharaya,,,,
Kegalle,Riverston Holiday Home,The Breeze Kandy Restaurant,Nandana Stores,"Hingulakanda Raja Maha Viharaya, Bulathkohupitiya",Demodara Railway Loop,"Mahakanda Maha Vidyalaya, Kegalle",Usgala Aranya Senasanaya,,,,
Kegalle,Lake View Cottage,Madulkelle Tea and Eco Lodge Restaurant,Chaminda Shopping Plaza,"Sri Sudharmarama Purana Viharaya, Bulathkohupitiya",New Ranweli Spice Garden,"Thalgaswala Maha Vidyalaya, Kegalle",Galigamuwa Raja Maha Viharaya,,,,
Kegalle,Ranawana Bungalow,Halgolla Plantation Home Restaurant,Chamara Stores,"Gonapola Raja Maha Viharaya, Gonapola",Knuckles Mountain Range,"Agrabodhi Vidyalaya, Rambukkana",Weralugolla Rajamaha Viharaya,,,,
Kegalle,Samanvijaya Rest House,Queenswood Cottage Restaurant,Chaminda Stores,"Maduwanwela Walawwa Raja Maha Viharaya, Hettimulla",Gal Oya National Park,"Ashoka College, Rambukkana (Private)",Doluwa Rajamaha Viharaya,,,,
Kegalle,Country Garden Cottage,Jungle Nest Kithulgala Restaurant,Chathura Shopping Arcade,"Weheregala Raja Maha Viharaya, Rambukkana",Kithulgala Adventure Sports,"British Way English Academy, Kegalle (Private)",Kurunegala Forest Reserve,,,,
Kegalle,Araliya Villa,Eagle's Wings Holiday Inn Restaurant,Kegalle Handicrafts Center,"Divaguhava Raja Maha Viharaya, Rambukkana",Kotmale Dam,"Revatha College, Mawanella",Thulhiriya Rajamaha Viharaya,,,,
Kegalle,The Hill House Kandy,Beloved Home Stay Restaurant,Dinesh Stores,"Meewaladeniya Raja Maha Viharaya, Mawanella",Kanneliya-Dediyagala-Nakiyadeniya (KDN) Forest Reserve,"Vidyaloka Maha Vidyalaya, Mawanella",Gurudeniya Rajamaha Viharaya,,,,
Kegalle,Villa 63 Kandy,Samanala Guest House Restaurant,Darshana Shopping Complex,"Asgiriya Rajamaha Viharaya, Asgiriya",Pussellawa Palace Ruins,"Ruwanpura National College of Education, Kegalle (Teacher Training)",Kegalle Central Market,,,,
Kegalle,Paradise Resort Kandy,Lake View Resort Restaurant,Nalin Stores,"Lankatilaka Rajamaha Viharaya, Asgiriya",Belihuloya Adventure Base Camp,"Dharmapala Vidyalaya, Yatiyanthota",Uruwela Rajamaha Viharaya,,,,
Kegalle,Sigiriya Village Hotel,Athgira River Camp Restaurant,Kegalle Market Square,"Asgiriya Maha Viharaya, Asgiriya",Ramboda Falls,"Aluthnuwara Maha Vidyalaya, Kegalle",Kegalle New Market,,,,
Kegalle,Elephant Reach Yala,Riverston Holiday Home Restaurant,Priyadarshana Stores,"Rajawella Sri Gnanodaya Pirivena, Rajawella",Embekka Devalaya Woodcarvings,"Bulathkohupitiya National College of Education, Bulathkohupitiya (Teacher Training)",Galigamuwa Clock Tower,,,,
Kegalle,Pinnawala Elephant Inn,Lake View Cottage Restaurant,Daya Shopping Plaza,"Sri Gnanodaya Pirivena, Rajawella",Kataragama Temple,"Ambanpola Maha Vidyalaya, Kegalle",Morape Raja Maha Viharaya,,,,
Kegalle,Jungle Tide,Araliya Villa Restaurant,Kegalle Textile Bazaar,"Mawathura Raja Maha Viharaya, Rambukkana",Kegalle Heritage Walk,"Ganewatta Maha Vidyalaya, Kegalle",Mawathura Aranya Senasanaya,,,,
Kegalle,Heenatigala Villa,Country Garden Cottage Restaurant,Prasanna Stores,"Pinnawala Purana Viharaya, Rambukkana",Lahiru Tours Sri Lanka,"Sarasavi Uyana National College of Education, Rambukkana (Teacher Training)",Wewaladeniya Rajamaha Viharaya,,,,
Kegalle,Serene Grand Villa,Samanvijaya Rest House Restaurant,Tharanga Shopping Center,"Mawathura Purana Viharaya, Rambukkana",Maara Culture Village,"Udugama Maha Vidyalaya, Mawanella",Ambokka Forest Reserve,,,,
Kegalle,Banyan Camp,Eagle's Wings Guesthouse Restaurant,Wimal Stores,"Sri Dalada Maligawa, Kegalle",Panduwasnuwara Archaeological Site,"Asgiriya Central College, Rambukkana",Mahadorakanda Forest Reserve,,,,
Kegalle,Green Hills Hotel,Riverside Inn Kandy Restaurant,Suranga Shopping Mall,"Mahamevnawa Buddhist Monastery, Kegalle",Uthuwankanda Mountain,"Ruwanwella Maha Vidyalaya, Ruwanwella",Ududumbara Rajamaha Viharaya,,,,
Kegalle,Riverside Inn Kandy,Ramboda Falls Hotel Restaurant,Ruwan Stores,"Sri Sudharmarama Purana Viharaya, Kegalle",Kegalle Monuments and Statues,"Kirindiwela Maha Vidyalaya, Kegalle",Medagama Rajamaha Viharaya,,,,
Kegalle,Ramboda Falls Hotel,Paradise Resort & Spa Restaurant,Chamara Shopping Complex,"Rambukkana Raja Maha Viharaya, Rambukkana","Sri Maha Bodhiya, Anuradhapura","Pahala Nugegoda Maha Vidyalaya, Kegalle",Aranayaka Dam,,,,
Kegalle,Paradise Resort & Spa,Kandy City Hotel by Earl's Restaurant,Prasanna Shopping Plaza,"Getabaru Raja Maha Viharaya, Getabaru",The Golden Cave Temple,"Higgasgodella Maha Vidyalaya, Kegalle",Rilhena Rajamaha Viharaya,,,,
Kegalle,Jungle Tide,Devon Hotel Kandy Restaurant,Nishantha Stores,"Kiridiwela Rajamaha Viharaya, Kiridiwela",Hunnasgiriya Peak,"Ahalepola Maha Vidyalaya, Kegalle",Kegalle Public Market,,,,
Kegalle,Kegalle Nature Resort,Sigiriya Village Hotel Restaurant,Udaya Stores,"Hemmathagama Rajamaha Viharaya, Hemmathagama",Ambuluwawa Tower,"Ma-Uyanwita Maha Vidyalaya, Kegalle",Udawalpola Rajamaha Viharaya,,,,
Kegalle,The Breeze Kandy,Elephant Reach Yala Restaurant,Dhanushka Shopping Center,"Maha Galkandamala Viharaya, Kegalle",Angammedilla National Park,"Pinnawala Kanishta Vidyalaya, Rambukkana",Polgahamulla Rajamaha Viharaya,,,,
Kegalle,Samanala Guest House,Heenatigala Villa Restaurant,Dhananjaya Stores,"Kandalama Purana Viharaya, Kegalle",Batadombalena Cave,"Saranankara Vidyalaya, Rambukkana",Welhathugoda Rajamaha Viharaya,,,,
Kegalle,Beloved Home Stay,Serene Grand Villa Restaurant,Kegalle Variety Mall,"Morape Purana Viharaya, Kegalle",Dunuwila Lake,"Ethgala Maha Vidyalaya, Rambukkana",Wewalkadeniya Rajamaha Viharaya,,,,
Kegalle,Eagle's Wings Holiday Inn,Banyan Camp Restaurant,Dinusha Stores,"Weragala Purana Viharaya, Kegalle",Horagolla National Park,"Dambadeniya Maha Vidyalaya, Kegalle",Hunuwala Rajamaha Viharaya,,,,
Kegalle,Athgira River Camp,Green Hills Hotel Restaurant,Kegalle Craft Market,"Hingurakgoda Raja Maha Viharaya, Kegalle",Kandy Garrison Cemetery,"Udamulankada Maha Vidyalaya, Kegalle",Polgahawela Clock Tower,,,,
Kegalle,Lake View Resort,Ramboda Falls Hotel Restaurant,Thushara Shopping Arcade,"Dandeniya Purana Viharaya, Kegalle",Ranawana Royal Temple,"Kiriella Maha Vidyalaya, Kegalle",Nawinna Aranya Senasanaya,,,,
Kegalle,The Cottage By Jetwing,Tropical View Hotel Restaurant,Kegalle Handloom Center,"Weliweriya Raja Maha Viharaya, Weliweriya",Udawattakele Forest Reserve,"Galmale Maha Vidyalaya, Kegalle",Weweldeniya Rajamaha Viharaya,,,,
Kegalle,The Secret Ella,Ella Jungle Resort Restaurant,Suraj Shopping Complex,"Nakkawaththa Purana Viharaya, Nakkawaththa",Victoria Reservoir,"Kuruppu Maha Vidyalaya, Kegalle",Mahalangiri Aranya Senasanaya,,,,
Kegalle,Madulkelle Tea and Eco Lodge,Araliya Green City Restaurant,Sanjeewa Stores,"Rajasinghe Maha Viharaya, Kegalle",Yatala Vehera,"Wattegedara Maha Vidyalaya, Kegalle",Urapola Rajamaha Viharaya,,,,
Kegalle,Halgolla Plantation Home,Rangala Rest House Restaurant,Nuwan Shopping Plaza,"Hettimulla Raja Maha Viharaya, Hettimulla",Udawattakele Sanctuary,"Panwila Maha Vidyalaya, Kegalle",Weragoda Rajamaha Viharaya,,,,
Kegalle,Queenswood Cottage,Oliphant Restaurant,Chaminda Shopping Center,"Ratnapura Purana Viharaya, Kegalle",Belilena Cave,"Kegaluvidyalaya Junior School, Kegalle (Private)",Kuragala Rajamaha Viharaya,,,,
Kegalle,Jungle Nest Kithulgala,Millenium Elephant Foundation Restaurant,Ranjan Stores,"Divulgahawela Purana Viharaya, Divulgahawela",Embekka Devalaya,"Gannoruwa Maha Vidyalaya, Kegalle",Wambugala Rajamaha Viharaya,,,,
Kegalle,Ambiente Hotel Kandy,Slightly Chilled Lounge Bar & Restaurant,Madushanka Stores,"Gampaha Purana Viharaya, Gampaha",Ambakke Devalaya,"Wewelpitiya Maha Vidyalaya, Kegalle",Pinnawala Public Market,,,,
Kegalle,Kandy Greenview Boutique Hotel,Kandy House Restaurant,Kegalle Fashion City,"Pinnawala Rajamaha Viharaya, Pinnawala",Vessagiriya,"Gomagoda Maha Vidyalaya, Kegalle",Madadombe Rajamaha Viharaya,,,,
Kegalle,Hotel Travellers Nest,The Riverston Grand Restaurant,Kegalle Retail Square,"Ganepalla Rajamaha Viharaya, Ganepalla",Sandagiri Stupa,"Molagoda Maha Vidyalaya, Kegalle",Kalubowila Rajamaha Viharaya,,,,
Kegalle,Tropical Retreat Kandy,Panorama View Guesthouse & Restaurant,Upul Stores,"Sri Saranankara Dharmayatanaya, Kirindiwela",Jetavanaramaya,"Nugape Maha Vidyalaya, Kegalle",Kandalama Rajamaha Viharaya,,,,
Kegalle,Kandy Upul Guesthouse,Nilwala Riverside Restaurant,Nuwan Shopping Complex,"Sri Saranankara Dharmayatanaya, Kegalle",Isurumuniya,"Wilbawa Maha Vidyalaya, Kegalle",Oya Rajamaha Viharaya,,,,
Kegalle,River Garden Resort Kandy,Sky Light Restaurant & Cafe,Kegalle Mall,"Rambukkana Purana Viharaya, Rambukkana",Maninagapawa,"Sir Edward Weerasooriya College, Kegalle",Ranawala Rajamaha Viharaya,,,,
Kegalle,Theva Residency,Friendz Restaurant & Pub,Kegalle Plaza,"Yatiyanthota Purana Viharaya, Yatiyanthota",Ruwanwelisaya,"Thudugala Maha Vidyalaya, Kegalle",Ederiyagala Rajamaha Viharaya,,,,
Kegalle,Hanthana House,Fresh Gamage Restaurant,Tharanga Stores,"Dombepola Rajamaha Viharaya, Dombepola",Tissamaharama Raja Maha Viharaya,"Ulpathakanda Maha Vidyalaya, Kegalle",Waharaka Rajamaha Viharaya,,,,
Kegalle,Ayos Hill Hotel,The Blue Sky Restaurant,Ananda Shopping Arcade,"Kothalawela Purana Viharaya, Kothalawela",Weherahena Poorwarama Raja Maha Viharaya,"Malalpola Maha Vidyalaya, Kegalle",Murutalawa Rajamaha Viharaya,,,,
Kegalle,Kandy City Hostel,Tea Leaf Restaurant,Niroshan Stores,"Ambepussa Rajamaha Viharaya, Ambepussa",Rumassala Peace Pagoda,"Weragama Maha Vidyalaya, Kegalle",Henegama Rajamaha Viharaya,,,,
Kegalle,Emerald Hill Hotel Kandy,Green View Restaurant,Chamara Shopping Plaza,"Ambepussa Purana Viharaya, Ambepussa",Yapahuwa Rock Fortress,"Dolosbage Maha Vidyalaya, Kegalle",Kiribathkumbura Rajamaha Viharaya,,,,
Kegalle,Oak Ray Regency Hotel Kandy,Delight Cafe & Restaurant,Kegalle Garment Center,"Balana Rajamaha Viharaya, Balana",Thuparamaya,"Ihalamulla Maha Vidyalaya, Kegalle",Kegalle Railway Station,,,,
Kegalle,River Grove Kandy,Nice Place Restaurant,Chamara Shopping Mall,"Kegalle Viharaya, Kegalle",Mirisawetiya,"Mallapitiya Maha Vidyalaya, Kegalle",Bulutota Rajamaha Viharaya,,,,
Kegalle,Mountbatten Bungalow,Cozy Nest Restaurant,Kegalle Shopping Centre,Diyakalamulla Rajamaha,Somawathiya Chaitya,"Hiriwadunna Maha Vidyalaya, Kegalle",Bopitiya Rajamaha Viharaya,,,,
Ratnapura,Ratnaloka Tour Inn,Red Castle Restaurant,Ratnapura City Centre,Ratnapura Central College,National Museum of Ratnapura,Kuruwita Central College,Adam's Peak (Sri Pada),,,,
Ratnapura,The Planters Bungalow Ratnapura,Pine View Restaurant,Araliya Green City Shopping Complex,"St. Aloysius' College, Ratnapura",Udawalawe National Park,"St. Aloysius' College, Ratnapura",Ratnapura Gem Museum,,,,
Ratnapura,Ratnapura Rest House,River Garden Restaurant,Ranmal Shopping Complex,"St. Luke's College, Ratnapura",Ratnapura Maha Saman Devalaya,"St. Luke's College, Ratnapura",Katugas Ella Waterfall,,,,
Ratnapura,River Garden Resort Ratnapura,Ratnaloka Tour Inn Restaurant,Ratna Shopping Complex,"Sri Sumangala Boys' College, Ratnapura",Sinharaja Forest Reserve,"Sri Sumangala Boys' College, Ratnapura",Bopath Ella Waterfall,,,,
Ratnapura,Athgira River Camp,Nilani Hotel Restaurant,Sripalee Shopping Complex,"Kanitu Vidyalaya, Ratnapura",Sri Pada (Adam's Peak),"Kanitu Vidyalaya, Ratnapura",Sinharaja Rainforest,,,,
Ratnapura,The Rainforest Ecolodge,The Grand Thamara Restaurant,Vajira Shopping Complex,"Southland Girls' College, Ratnapura",Bopath Ella Waterfall,"Southland Girls' College, Ratnapura",Udawalawe National Park,,,,
Ratnapura,Pine View Hotel,Sarathchandra Hotel Restaurant,Nippon Shopping Complex,"Dudley Senanayake Central College, Tholangamuwa",Kirindi Ella Waterfall,"Dudley Senanayake Central College, Tholangamuwa",Delgamuwa Raja Maha Viharaya,,,,
Ratnapura,Nilani Hotel,River View Restaurant,Central Super Centre,Ratnapura Madya Maha Vidyalaya,Gem Mines in Ratnapura,Ratnapura Madya Maha Vidyalaya,Kuruwita Raja Maha Viharaya,,,,
Ratnapura,Ayurveda Manel Villa,New City Hotel Restaurant,Thilakarathna Shopping Complex,"St. Joseph's Balika Maha Vidyalaya, Ratnapura",Katugas Ella Waterfall,"St. Joseph's Balika Maha Vidyalaya, Ratnapura",Sinharaja Forest Reserve,,,,
Ratnapura,Star Holiday Resort,Ratna Tourist Inn Restaurant,Wijaya Shopping Complex,"St. Mary's College, Balangoda",Kalthota Duwili Ella Waterfall,"St. Mary's College, Balangoda",Wewelthalawa Forest Reserve,,,,
Ratnapura,Samanala Hotel,Ratnapura Village Resort Restaurant,Janaki Shopping Complex,Balangoda Central College,Kirindi Oya River,Balangoda Central College,Maha Saman Devalaya,,,,
Ratnapura,Ratna Banquet and Reception Hall,Siri Samanthabhadra Restaurant,Thalawakele Shopping Complex,Dehiowita Central College,Delgamuwa Raja Maha Viharaya,Dehiowita Central College,Ratnapura Town Clock Tower,,,,
Ratnapura,Hillcrest Resort,The Wild Trails Yala Restaurant,Udarata Shopping Complex,"Sri Devananda College, Embilipitiya",Budugala Aranya Senasanaya,"Sri Devananda College, Embilipitiya",Kirindi Ella Waterfall,,,,
Ratnapura,Ranmuthu Hotel,Ratnapura Rest House Restaurant,Karunaratne Shopping Complex,"Sumana Balika Vidyalaya, Embilipitiya",Embilipitiya Raja Maha Viharaya,"Sumana Balika Vidyalaya, Embilipitiya",Embilipitiya Clock Tower,,,,
Ratnapura,River Lane Resort,Ratna Banquet and Reception Hall Restaurant,Ratna Stores,"Bandaranayake Central College, Ratnapura",Balangoda Archaeological Museum,"Bandaranayake Central College, Ratnapura",Rajapaksha Museum,,,,
Ratnapura,Jj River Hotel and Restaurant,Galaxy Inn Restaurant,Shanthi Stores,Embilipitiya Central College,Wewrukannala Vihara,Embilipitiya Central College,Seethawaka Wet Zone Botanic Gardens,,,,
Ratnapura,New City Hotel,River Lane Resort Restaurant,New Ratna Stores,Pinnawala Central College,Kirinda Viharaya,Pinnawala Central College,Gemological Museum,,,,
Ratnapura,The Grand Thamara Hotel,Golden View Restaurant,Siri Ratna Stores,Kiriella Central College,Parakrama Samudra,Kiriella Central College,Samanalawewa Dam,,,,
Ratnapura,Amaya Hills Ratnapura,Hotel Crystal Gate Restaurant,Malika Stores,Godakawela Central College,Kataragama Temple,Godakawela Central College,Batadomba Lena Cave,,,,
Ratnapura,Red Castle Hotel,Ratna Hotel Restaurant,Ratnapura Gem Market,Embilipitiya Maha Vidyalaya,Kataragama Archaeological Museum,Embilipitiya Maha Vidyalaya,Ganga-rani Ella Falls,,,,
Ratnapura,Ganga Addara Hotel,Green Shadow Eco Resort Restaurant,Ratnapura Textile Market,Morawaka Maha Vidyalaya,Gemological Museum of the National Gem and Jewellery Authority,Morawaka Maha Vidyalaya,Maha Saman Devalaya Museum,,,,
Ratnapura,Sky Peak Hotel,Blue Field Tea Gardens Restaurant,Ratnapura Vegetable Market,Rakwana Maha Vidyalaya,Kuda Ella Waterfall,Rakwana Maha Vidyalaya,Gilimale Forest Reserve,,,,
Ratnapura,Hotel Crystal Gate,Lakeside Rest Restaurant,Ratnapura Fruit Market,Kolonna Maha Vidyalaya,Kolonna Rajamaha Viharaya,Kolonna Maha Vidyalaya,Kukule Ganga Dam,,,,
Ratnapura,Ratna Tourist Inn,Lotus Lodge Restaurant,Ratnapura Electronics Market,Nivithigala Maha Vidyalaya,Malwala Palace,Nivithigala Maha Vidyalaya,Pelmadulla Raja Maha Viharaya,,,,
Ratnapura,Golden View Hotel,Dream View Restaurant,Ratnapura Furniture Market,Ehelapola Maha Vidyalaya,Batadombalena Prehistoric Cave Site,Ehelapola Maha Vidyalaya,Bamarakiri Ella Waterfall,,,,
Ratnapura,River View Hotel,Mahoora Tented Safari Camps Yala Restaurant,Ratnapura Jewelry Market,"Opatha Maha Vidyalaya, Ratnapura",Samanalawewa Reservoir,"Opatha Maha Vidyalaya, Ratnapura",Weheragala Reservoir,,,,
Ratnapura,Shirohama Hotel,Silsila Hotel Restaurant,Ratnapura Garment Market,"Sripalee College, Ratnapura",Lihiniya Gems Museum,"Sripalee College, Ratnapura",Sri Anjaneyar Temple,,,,
Ratnapura,Sarathchandra Hotel,South Lake Resort Restaurant,Ratnapura Handicrafts Market,"Wewalwaththa Central College, Ratnapura",Batadomba Lena Cave Temple,"Wewalwaththa Central College, Ratnapura",Divaguhawa Forest Reserve,,,,
Ratnapura,Village Inn,Lanka Rest Hotel Restaurant,Ratnapura Antique Market,Neluwa Maha Vidyalaya,Dola Pabbatha Archaeological Site,Neluwa Maha Vidyalaya,Ratnapura Public Market,,,,
Ratnapura,Highcliff Hotel,Senanayake Tourist Hotel Restaurant,Ratnapura Watch Market,Pelmadulla Central College,Kekanadura Raja Maha Viharaya,Pelmadulla Central College,Pothgul Rajamaha Viharaya,,,,
Ratnapura,Kalupahana Resort,Rathnapura Thilak Tourist Hotel Restaurant,Ratnapura Shoe Market,"Ethgala Maha Vidyalaya, Kuruwita",Kamburugamuwa Archaeological Museum,"Ethgala Maha Vidyalaya, Kuruwita",Balangoda Clock Tower,,,,
Ratnapura,Hotel Bodi Ras,Surathura Tourist Inn Restaurant,Ratnapura Cosmetics Market,Elapatha Central College,Batadombalena Cave,Elapatha Central College,Elgin Falls,,,,
Ratnapura,Abhiman Hotel,Ratnapura Rest Inn Restaurant,Ratnapura Book Market,"St. Mary's College, Ratnapura",Kuruwita Batadomba Lena,"St. Mary's College, Ratnapura",Pitadeniya Rajamaha Viharaya,,,,
Ratnapura,Abans Hotel,Ratnayake Tourist Inn Restaurant,Ratnapura Stationery Market,"St. Agnes' Balika Maha Vidyalaya, Balangoda",Berendi Kanda,"St. Agnes' Balika Maha Vidyalaya, Balangoda",Viharagala Forest Reserve,,,,
Ratnapura,River Edge Hotel,Gem City Hotel Restaurant,Ratnapura Hardware Market,Embilipitiya National School,Rassagala Archaeological Site,Embilipitiya National School,Ridi Viharaya,,,,
Ratnapura,Miridiya Lake Resort,Siri Samanthabhadra Reception Hall Restaurant,Ratnapura Kitchenware Market,"Udagama Maha Vidyalaya, Ratnapura",Kotabakina Ella Waterfall,"Udagama Maha Vidyalaya, Ratnapura",Kuruwita Clock Tower,,,,
Ratnapura,The Golden Rest Hotel,Rambukkana Hotel Restaurant,Ratnapura Sports Equipment Market,"Dhammarathana Vidyalaya, Ratnapura",Maha Saman Devalaya - Ratnapura,"Dhammarathana Vidyalaya, Ratnapura",Kiriwanagama Rajamaha Viharaya,,,,
Ratnapura,Ratnapura Village Resort,Kegalle Hotel Restaurant,Ratnapura Pet Shop,"Thelijjawila Maha Vidyalaya, Ratnapura",Kolonne Raja Maha Viharaya,"Thelijjawila Maha Vidyalaya, Ratnapura",Galge Ella Waterfall,,,,
Ratnapura,Hotel Samindra,Kuonrat Place Restaurant,Ratnapura Flower Market,Nivithigala National School,Ridi Viharaya,Nivithigala National School,Udawalawe Reservoir,,,,
Ratnapura,Hotel Sea Lake,Samanala Hotel Restaurant,Ratnapura Grocery Market,"Ethkandura Maha Vidyalaya, Ratnapura",Samanalawewa Dam,"Ethkandura Maha Vidyalaya, Ratnapura",Udawalawe Elephant Transit Home,,,,
